,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
6234,1.0,1.0,1.0,2,1,1.41144456039,1.77514462219,9.0,9.0,8.0
7818,1.0,3.0,3.0,5,1,2.64415233869,1.32123851703,9.0,9.0,9.0
1055,1.0,3.0,6.0,7,1,7.01353080868,3.43714307025,9.0,9.0,10.0
5684,1.0,1.0,2.0,3,3,2.82452189878,0.45190518894,10.0,10.0,10.0
2648,1.0,0.0,1.0,2,1,1.13724137279,0.829158855504,0.0,0.0,0.0
7351,1.0,1.0,1.0,2,1,1.7407824326,0.552665688323,10.0,10.0,10.0
9115,1.0,1.0,1.0,2,1,4.06286401966,0.835829502915,10.0,9.0,9.0
6976,1.0,1.0,1.0,2,1,1.95342224855,1.49521615275,0.0,0.0,0.0
7870,1.0,1.0,2.0,2,1,1.92323207606,0.582286501181,10.0,9.0,9.0
5277,1.0,1.0,1.0,2,1,2.89808049281,0.816238068839,10.0,9.0,8.0
12540,1.0,2.0,1.0,2,2,2.9369628554,0.888687584799,10.0,7.0,9.0
10365,1.0,1.0,1.0,2,2,2.62309528703,1.30298265637,9.0,9.0,9.0
7576,1.0,1.0,1.0,2,1,3.01079266672,0.929798849325,0.0,0.0,0.0
12238,1.0,1.0,2.0,2,1,1.54399265988,2.03663744059,9.0,9.0,8.0
5528,1.0,1.0,1.0,2,1,2.11220452414,0.316273264178,10.0,10.0,9.0
9455,1.0,0.0,3.0,4,2,2.74378223033,1.73661107848,9.0,10.0,9.0
3220,1.0,1.0,2.0,3,2,2.2408152594,1.75555774828,0.0,0.0,0.0
11355,1.0,2.0,2.0,4,1,2.59354935091,1.37408722282,0.0,0.0,0.0
5263,1.0,1.0,1.0,2,1,2.12551934409,0.42357491331,10.0,10.0,10.0
12737,1.0,1.0,1.0,1,1,3.43718058229,0.491595874412,9.0,8.0,8.0
12010,1.0,1.0,1.0,2,1,1.34767144829,1.66945347062,10.0,10.0,10.0
8881,1.0,1.0,1.0,2,1,2.30191804205,0.794476883866,9.0,9.0,9.0
2515,1.5,2.0,2.0,4,2,0.685903836581,0.521183895824,10.0,9.0,9.0
9500,1.0,1.0,1.0,2,1,3.966791769,0.593736343394,0.0,0.0,0.0
32,1.0,1.0,2.0,3,2,8.39743505266,0.143705860011,10.0,9.0,9.0
13071,1.0,1.0,1.0,2,1,3.13109778914,0.680344710912,9.0,9.0,9.0
9960,1.0,2.0,2.0,6,1,4.79633330448,0.270759109265,10.0,10.0,10.0
11807,1.0,1.0,1.0,2,2,2.56654127992,1.86642500684,10.0,10.0,10.0
5165,1.0,2.0,2.0,3,1,2.64675486648,0.516832199284,8.0,8.0,7.0
5826,1.0,2.0,2.0,4,4,3.66571858952,1.22468608055,10.0,9.0,9.0
12339,1.0,1.0,1.0,2,1,3.26575339968,1.12018765797,0.0,0.0,0.0
13605,1.0,1.0,1.0,2,1,3.5402800674,0.713396428209,10.0,10.0,10.0
8790,1.0,1.0,1.0,2,1,2.1898652425,0.511595835515,10.0,10.0,10.0
12557,1.0,1.0,1.0,2,1,3.0433782909,0.83959683484,9.0,9.0,9.0
7270,1.0,1.0,2.0,4,1,7.91625458423,0.380728765129,0.0,0.0,0.0
