"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12580",1,2.52035783904,3,10,9,4,1,1,1.2,9
"12581",1,3.03194051398,1,6,8,2,1,1,4,6
"12582",1,2.32978312025,2,9,9,1,1,1,2.84,9
"12583",1,2.38374291905,2,10,9,2,1,1,1.39,9
"12584",1,2.62676593209,2,10,9,2,1,1,0.75,10
"12585",1,3.03201244361,2,10,9,2,1,1,4.31,9
"12586",1,3.03167614086,2,10,9,4,2,1,0.55,9
"12587",1,2.98392692997,2,9,8,3,1,1,1.24,8
"12588",1,2.30966508371,2,10,9,1,1,1,1.2,9
"12589",1,2.64604575051,2,9,9,2,1,2,2.62,9
"12590",1,2.77291617371,2,10,9,3,1,1,1.32,10
"12591",1,3.05028481265,4,10,8,2,1,4,1.76,9
"12592",0,3.31531526161,2,9,9,3,1,1,0.38,9
"12593",1,3.27878907495,1,10,9,2,1,1,1.6,10
"12594",1,2.39429915634,3,9,8,3,1,1,0.98,9
"12595",1,2.92396978551,5,10,8,3,1,3,0.55,8
"12596",1,2.88517442094,2,8,8,4,1,1,0.21,6
"12597",1,3.65147907635,1,8,6,1,1,1,0.87,8
"12598",1,2.85112578824,1,0,0,4,1,1,0,0
"12599",1,3.07227866718,2,10,7,1,1,1,2,8
"12600",1,2.71099397575,2,10,8,4,1,1,0.31,9
"12601",2,2.29107262002,4,10,9,3,1,2,0.43,10
"12602",1,2.74664248971,3,0,0,1,1,2,0,0
"12603",1,2.86503194088,2,10,9,1,0.5,1,0.49,9
"12604",2,3.68457784626,4,10,10,2,1,2,1,10
"12605",2,3.04337641494,4,10,9,2,1,2,1.08,9
"12606",2,2.0640073872,4,9,9,3,1,3,2.91,9
"12607",3,2.78490613715,4,10,9,3,1,4,0.35,10
"12608",4,2.92985250931,4,10,10,4,2,5,1.22,8
"12609",1,2.70820342655,2,9,9,3,1,1,1.15,9
"12610",1,2.13948562155,3,10,9,2,1,2,3.27,10
"12611",1,3.09791908506,2,9,9,4,1,2,0.27,9
"12612",1,3.31009846837,3,9,8,1,1,1,3.59,9
"12613",0,3.22750136743,2,10,9,4,1,1,5.19,10
"12614",1,2.51994464886,2,10,8,4,1,1,0.09,8
"12615",2,2.15497213566,3,10,9,1,1.5,2,0.34,8
"12616",1,3.2221416466,2,10,9,1,1,1,3.29,9
"12617",1,2.59193617276,2,10,10,1,1,1,1,8
"12618",1,2.98861090646,3,10,8,2,1,3,1.07,9
"12619",3,3.68747623888,4,10,8,3,1.5,4,0.28,8
"12620",0,3.26116229915,2,10,9,3,1,1,1.02,10
"12621",2,2.2340253004,4,10,10,2,1,3,1.8,9
"12622",1,3.43414974577,2,10,9,3,1,1,4,9
"12623",1,2.18367063365,2,10,8,4,1,1,0.58,10
